a_exp,t_cou,t_des3,t_fee,p_fla,p_work
教师,美国,学术会议,科研经费,优秀,计算机科学与技术学院
教师,美国,学术会议,科研经费,优秀,计算机科学与技术学院
教师,美国,学术会议,科研经费,优秀,计算机科学与技术学院
,中国香港,学术会议,境外邀请方,良好,电子与信息工程学院
教师,土耳其,学术会议,科研经费,优秀,计算机科学与技术学院
教师,美国,学术会议,学校经费,良好,土木工程学院
教师,美国,学术会议,学校经费,优秀,经济与管理学院
教师,美国,学术会议,学校经费,良好,经济与管理学院
教师,美国,学术会议,学校经费,一般,经济与管理学院
教师,美国,学术会议,学校经费,一般,经济与管理学院
教师,美国,学术会议,学校经费,良好,经济与管理学院
教师,美国,学术会议,学校经费,良好,土木工程学院
教师,美国,学术会议,学校经费,良好,经济与管理学院
教师,美国,学术会议,学校经费,良好,土木工程学院
教师,美国,学术会议,学校经费,一般,经济与管理学院
教师,加拿大,学术交流,科研经费,良好,基础与交叉科学研究院
教师,英国,访问学者,学校经费,优秀,外国语学院
教师,美国，加拿大,学术会议,学校经费,良好,土木工程学院
教师,加拿大,学术会议,科研经费,良好,电气工程及自动化学院
教授,中国香港,学术会议,科研经费,良好,电子与信息工程学院
教授,中国香港,学术会议,科研经费,优秀,电子与信息工程学院
副教授,中国香港,访问考察,学校经费,良好,校本部机关
教授,中国香港,访问考察,学校经费,良好,计算机科学与技术学院
教授,中国香港,访问考察,学校经费,一般,校本部机关
教师,中国香港,访问考察,学校经费,一般,校本部机关
教师,中国香港,访问考察,学校经费,良好,校本部机关
副教授,中国香港,访问考察,学校经费,良好,校本部机关
,加拿大,学术会议,科研经费,良好,电气工程及自动化学院
副教授,波兰,学术会议,学校经费,良好,材料科学与工程学院
教授,波兰,学术会议,学校经费,良好,材料科学与工程学院
副教授,波兰,学术会议,学校经费,良好,材料科学与工程学院
,中国香港,学术会议,科研经费,优秀,电子与信息工程学院
教授,中国香港,学术会议,科研经费,良好,电子与信息工程学院
教授,澳大利亚,访问考察,学校经费,优秀,校本部机关
,巴西,访问考察,境外邀请方,优秀,市政环境工程学院
副教授,法国,学术会议,学校经费,优秀,计算机科学与技术学院
,韩国,学术会议,学校经费,,
教师,澳大利亚,学术会议,学校经费,优秀,化工学院
教师,以色列，新加坡,访问考察,科研经费,优秀,市政环境工程学院
教师,澳大利亚,访问考察,学校经费,优秀,市政环境工程学院
教师,法国,学术会议,学校经费,良好,航天学院
教师,法国,学术会议,学校经费,优秀,航天学院
教师,法国,学术会议,学校经费,良好,航天学院
,韩国,学术会议,学校经费,良好,土木工程学院
教师,美国,学术会议,学校经费,优秀,机电工程学院
教授,日本,合作研究,科研经费,良好,能源科学与工程学院
教师,葡萄牙,学术会议,科研经费,良好,机电工程学院
教师,越南,合作研究,境外邀请方,一般,体育部
教师,塞尔维亚,学术会议,学校经费,一般,电气工程及自动化学院
教师,美国,学术会议,学校经费,良好,校本部机关
教授,瑞典,访问考察,学校经费,优秀,生命科学与技术学院
教师,美国,学术会议,学校经费,优秀,机电工程学院
副教授,加拿大,学术会议,学校经费,优秀,航天学院
教授,中国香港,学术交流,境外邀请方,良好,土木工程学院
教师,中国香港,学术会议,科研经费,良好,机电工程学院
,,,,良好,航天学院
,,,,良好,航天学院
,,,,良好,航天学院
学生,澳大利亚,访问考察,学校经费,良好,航天学院
,,,,良好,航天学院
,,,,良好,航天学院
教师,美国,访问考察,学校经费,优秀,校本部机关
,,,,良好,航天学院
教师,,,,良好,航天学院
教授,葡萄牙,学术会议,学校经费,优秀,土木工程学院
,,,,良好,航天学院
教师,日本,学术会议,学校经费,优秀,材料科学与工程学院
,葡萄牙,学术会议,学校经费,良好,土木工程学院
教师,加拿大，美国,访问考察,科研经费,良好,土木工程学院
教授,新加坡,学术会议,科研经费,良好,机电工程学院
,韩国,学术会议,学校经费,优秀,基础与交叉科学研究院
教师,中国香港,访问考察,学校经费,优秀,校本部机关
,,,,良好,航天学院
教师,日本,访问考察,学校经费,良好,校本部机关
教师,英国,访问考察,科研经费,优秀,航天学院
教师,美国,学术会议,科研经费,优秀,计算机科学与技术学院
,,,,优秀,外国语学院
教师,,,,优秀,外国语学院
教授,加拿大,学术会议,科研经费,优秀,能源科学与工程学院
教授,加拿大,学术会议,科研经费,优秀,能源科学与工程学院
,美国,学术会议,学校经费,良好,电子与信息工程学院
教授,美国,学术会议,学校经费,优秀,电子与信息工程学院
学生,澳大利亚,学术会议,学校经费,优秀,市政环境工程学院
学生,澳大利亚,学术会议,学校经费,良好,市政环境工程学院
教师,德国,访问考察,科研经费,良好,机电工程学院
教师,德国,访问考察,科研经费,良好,机电工程学院
学生,澳大利亚,学术会议,学校经费,良好,市政环境工程学院
教师,美国,访问考察,学校经费,良好,计算机科学与技术学院
教师,美国,学术会议,学校经费,优秀,食品科学与工程学院
副教授,巴西，智利,访问考察,学校经费,优秀,校本部机关
教授,巴西，智利,访问考察,学校经费,良好,校本部机关
,巴西，智利,访问考察,学校经费,优秀,校本部机关
,新加坡,学术会议,科研经费,良好,机电工程学院
教师,美国,学术会议,学校经费,良好,理学院
教师,美国,学术会议,学校经费,良好,理学院
,美国,学术会议,学校经费,良好,经济与管理学院
,美国,学术会议,学校经费,良好,理学院
教师,美国,学术会议,学校经费,优秀,理学院
学生,美国,留学进修,科研经费,优秀,理学院
学生,美国,学术会议,科研经费,良好,市政环境工程学院
学生,美国,学术会议,科研经费,良好,市政环境工程学院
教师,美国,学术会议,科研经费,良好,市政环境工程学院
教师,澳大利亚,学术会议,科研经费,优秀,化工学院
,澳大利亚,学术会议,科研经费,优秀,化工学院
教授,美国,学术会议,科研经费,优秀,计算机科学与技术学院
教授,美国,学术会议,科研经费,优秀,计算机科学与技术学院
教师,德国,学术会议,学校经费,良好,航天学院
,俄罗斯,合作研究,学校经费,优秀,航天学院
教师,爱尔兰,访问考察,境外邀请方,良好,计算机科学与技术学院
教师,美国,学术会议,科研经费,优秀,化工学院
院长,荷兰，瑞典，法国,学术交流,学院经费,优秀,软件学院
教师,德国,学术交流,境外邀请方,良好,机电工程学院
教授,印度,学术会议,科研经费,优秀,航天学院
教授,加拿大,合作研究,学校经费,良好,校本部机关
教师,美国,学术会议,学校经费,优秀,航天学院
教师,美国,学术会议,学校经费,优秀,化工学院
教师,美国,访问考察,学校经费,良好,土木工程学院
学生,美国,学术会议,科研经费,良好,计算机科学与技术学院
学生,美国,学术会议,科研经费,良好,计算机科学与技术学院
