教师,2,韩国,学术会议,学校经费,男,已婚,优秀,市政环境工程学院
教授,2,韩国,学术会议,学校经费,男,已婚,优秀,市政环境工程学院
,2,美国,学术会议,,,,,
教师,1,新加坡,学术会议,学校经费,男,已婚,优秀,航天学院
教师,2,美国,学术会议,学校经费,男,已婚,优秀,航天学院
教师,2,美国,学术会议,学校经费,男,已婚,良好,航天学院
教授,1,美国,学术会议,科研经费,男,未婚,优秀,电子与信息工程学院
教授,2,法国,访问考察,学院经费,男,已婚,优秀,软件学院
副教授,2,法国,访问考察,学院经费,男,已婚,良好,计算机科学与技术学院
教授,1,日本,学术会议,科研经费,男,已婚,优秀,基础与交叉科学研究院
,3,美国,学术会议,,,,,
教授,1,澳大利亚,学术会议,科研经费,男,已婚,良好,市政环境工程学院
教师,1,美国,学术会议,学校经费,男,已婚,优秀,化工学院
教授,3,美国,学术会议,学校经费,男,已婚,优秀,计算机科学与技术学院
,3,美国,学术会议,,男,已婚,优秀,计算机科学与技术学院
副教授,1,新加坡,学术会议,学校经费,男,未婚,良好,经济与管理学院
教师,1,美国,学术会议,学校经费,男,已婚,初级,电气工程及自动化学院
,5,韩国,学术会议,科研经费,男,已婚,良好,市政环境工程学院
,5,韩国,学术会议,科研经费,男,已婚,优秀,市政环境工程学院
,5,韩国,学术会议,科研经费,女,已婚,优秀,市政环境工程学院
教师,5,韩国,学术会议,科研经费,女,已婚,优秀,市政环境工程学院
,5,韩国,学术会议,科研经费,男,已婚,良好,航天学院
副教授,1,英国,访问学者,境外邀请方,男,已婚,优秀,电气工程及自动化学院
,1,新加坡,学术会议,科研经费,男,未婚,良好,经济与管理学院
,1,美国,学术会议,学校经费,男,已婚,初级,电气工程及自动化学院
,1,英国,访问学者,,男,已婚,优秀,电气工程及自动化学院
教授,1,澳大利亚,学术会议,学校经费,男,已婚,优秀,化工学院
教师,1,英国,合作研究,,女,已婚,良好,经济与管理学院
,1,德国,学术交流,,男,已婚,良好,能源科学与工程学院
副教授,1,希腊,学术会议,学校经费,男,已婚,优秀,航天学院
,6,韩国,学术交流,,男,已婚,良好,理学院
,1,韩国,学术交流,,男,未婚,良好,理学院
教授,1,瑞典,学术交流,科研经费,男,已婚,良好,机电工程学院
副教授,1,美国,学术会议,科研经费,男,已婚,良好,软件学院
,,,,,男,未婚,良好,航天学院
教师,1,韩国,学术会议,科研经费,男,已婚,良好,市政环境工程学院
教师,2,罗马尼亚,学术会议,科研经费,男,已婚,优秀,基础与交叉科学研究院
教师,2,罗马尼亚,学术会议,科研经费,男,已婚,优秀,基础与交叉科学研究院
,,,,,男,未婚,良好,航天学院
教师,1,韩国,学术会议,科研经费,女,已婚,优秀,市政环境工程学院
,,,,,男,未婚,良好,航天学院
,4,澳大利亚，新西兰,访问考察,学校经费,女,已婚,一般,校本部机关
,4,澳大利亚，新西兰,访问考察,学校经费,男,已婚,一般,校本部机关
,4,澳大利亚，新西兰,访问考察,学校经费,女,未婚,优秀,校本部机关
,4,澳大利亚，新西兰,访问考察,学校经费,女,已婚,初级,校本部机关
教师,1,韩国,学术会议,科研经费,男,已婚,良好,航天学院
副教授,4,澳大利亚，新西兰,访问考察,学校经费,女,已婚,一般,校本部机关
教授,4,澳大利亚，新西兰,访问考察,学校经费,男,已婚,一般,校本部机关
